artists,duration_ms,explicit,id,key,modified_query,name,num_weeks,popularity,release_date,search_query,uri
,199693.0,False,,Cole Swindell,,Break up in the End,1,,2018-08-17,cole swindell break up in the end,spotify:track:5Z19ylxppfnfdP4JH0u8oj
,177066.0,False,,"Cole Swindell, Dierks Bentley",,Flatliner (feat. Dierks Bentley),18,,2016-05-06,cole swindell flatliner,spotify:track:0WyFpxYlBCgH1gMXd26OOr
,226157.0,False,,Karaoke Instrumental Masters Collection,,Broccoli (Originally Performed by D.R.A.M.) - Instrumental Karaoke Version,4,,2017-10-06,d.r.a.m. broccoli,spotify:track:4JrTU7Hw1y9dkzcmGiQ69G
,229146.0,True,,"DJ Khaled, Calvin Harris, Travis Scott, Jeremih",,Don't Quit (feat. Travis Scott & Jeremih),1,,2017-06-22,dj khaled don't quit,spotify:track:6LOCAhFzZiavHcLJucLuDy
,288876.0,True,,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",22,,2017-06-22,dj khaled i'm the one,spotify:track:1jYiIOC5d6soxkJP81fxq2
,233293.0,True,,"DJ Khaled, Travis Scott, Rick Ross, Big Sean",,"On Everything (feat. Travis Scott, Rick Ross & Big Sean)",1,,2017-06-22,dj khaled on everything,spotify:track:7lxZbmtC6SkUc2yXBgDOdO
,284000.0,True,,"DJ Khaled, Beyoncé, JAY Z",,Shining (feat. Beyoncé & Jay-Z),14,,2017-06-22,dj khaled shining,spotify:track:7Fa5UNizycSms5jP3SQD3F
,193901.0,True,,"DJ Khaled, Drake",,To the Max,4,,2017-06-22,dj khaled to the max,spotify:track:2of5xn0GU0TdFneR1saRLH
,230712.0,True,,"DJ Khaled, JAY Z, Future, Beyoncé",,Top Off,7,,2018-03-02,dj khaled top off,spotify:track:1W6wxOOYyJyyok8fqYSZ3m
,204664.0,True,,"DJ Khaled, Rihanna, Bryson Tiller",,Wild Thoughts (feat. Rihanna & Bryson Tiller),21,,2017-06-22,dj khaled wild thoughts,spotify:track:45XhKYRRkyeqoW3teSOkCM
,219512.0,True,,DJ Luke Nasty,,OTW,2,,2016-05-13,dj luke nasty otw,spotify:track:5qi7piHIt9zwTYYBnIvfNZ
,205946.0,False,,"DJ Snake, Justin Bieber",,Let Me Love You,8,,2016-08-05,dj snake let me love you,spotify:track:0lYBSQXN6rCTvUZvg9S0lU
,129384.0,True,,DJ Suede The Remix God,,Cash Me Outside (#CashmeOutside),3,,2017-01-31,dj suede the remix god cash me outside (#cashmeoutside),spotify:track:1r6cyaW7yMykwSyxTuwcuM
